 0 0 12 2 0 37
archipel-core 0 1 1 2 0 0
archivemail 0 2 4 2 0 0
archivemount 0 3 5 1 0 0
archmage 0 1 3 3 0 43
archmbox 0 7 4 3 1 0
archvsync 0 3 1 0 0 0
arden 0 0 3 2 1 0
ardentryst 0 1 7 2 0 0
ardour 272 1 11 8 6 15
arduino 180 540 130 3 4 0
arduino-mighty-1284p 0 1 2 0 0 0
arduino-mk 0 0 2 1 1 0
arename 0 0 1 1 0 0
argon2 0 1 9 1 0 0
argonaut 7 2 1 0 0 0
argparse4j 0 1 1 3 0 0
args4j 0 0 3 3 0 0
argtable2 0 0 1 1 0 0
argus 0 0 38 6 0 3
argus-clients 0 19 286 4 0 0
argvalidate 0 1 5 2 0 0
argyll 0 1 242 3 47 0
aria2 0 1 2 1 0 0
ariba 0 0 0 2 0 0
aribas 0 0 4 1 1 0
ario 0 4 21 2 0 0
arj 0 0 1 1 0 0
ark 0 4 49 4 0 1
armada-backlight 0 0 1 2 0 0
armadillo 0 1 11 6 0 0
armagetronad 0 1 9 1 2 0
armci-mpi 0 1 2 0 0 0
armory 271 9 6 4 1 0
arno-iptables-firewall 1 1 5 1 0 1
aroarfw 0 0 1 0 0 0
arora 0 22 14 4 0 0
arp-scan 0 0 1 2 1 2
arpack 0 2 12 3 2 0
arpack++ 0 2 3 9 2 0
arpalert 2 1 15 2 1 0
arping 0 0 3 2 0 0
arpon 0 5 13 2 3 0
arptables 0 4 11 6 1 0
arpwatch 0 1 1 1 2 1
array-info 0 2 43 4 1 0
arrayfire 0 1 14 1 20 6
arriero 0 1 4 2 0 0
art-nextgen-simulation-tools 0 1 7 1 0 0
artemis 0 0 1 1 0 0
artfastqgenerator 0 0 1 4 0 0
artha 0 3 9 6 1 0
artikulate 0 6 33 3 2 8
as31 0 3 19 4 2 0
asc 0 1 32 4 0 0
asc-music 0 1 2 2 0 0
ascd 0 0 11 5 0 0
ascdc 0 2 5 5 1 0
ascii 0 0 3 2 0 2
ascii2binary 0 2 11 3 0 0
asciiart 0 1 1 2 0 0
asciidoc 0 0 2 1 0 0
asciidoctor 0 1 4 1 13 0
asciijump 0 4 27 4 2 0
asciimathtml 0 3 5 2 0 0
asciinema 0 1 3 1 0 0
asciio 0 3 7 3 0 0
asclock 88 0 3 4 1 3
asedriveiiie 0 2 9 6 1 0
aseqjoy 0 0 1 1 1 0
asic0x 0 1 4 2 0 0
asio 0 0 3 3 4 0
asis 0 1 63 2 7 0
